 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1  763  0.3000  3.3574
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1       1      6.42112429E-04  3.39205884E-01  1.63893793E+00  3.53665858E+00  3.00000000E-01  1.43740000E-10  7.11660299E-01  1.51122534E+54  1.51122534E+54  1.48656560E+07  0.00000000E+00  4.32357553E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.27337192E+49  0.00000000E+00  0.00000000E+00  8.63716624E-01  7.08988968E+00  6.83448083E-13
   1       2      6.48491120E-04  3.37343006E-01  1.63477306E+00  3.53661318E+00  3.00000000E-01  1.43740000E-10  7.11660290E-01  1.50381294E+54  1.50381294E+54  1.47344989E+07  0.00000000E+00  4.33403186E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.25731638E+49  0.00000000E+00  0.00000000E+00  8.64250040E-01  7.09845776E+00  6.79694668E-13
   1       3      6.53397806E-04  3.35930811E-01  1.63160576E+00  3.53657883E+00  3.00000000E-01  1.43740000E-10  7.11660283E-01  1.49818711E+54  1.49818711E+54  1.46979837E+07  0.00000000E+00  4.34200551E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.24513062E+49  0.00000000E+00  0.00000000E+00  8.64656099E-01  7.10498454E+00  6.76849312E-13
   1       4      6.57520521E-04  3.34758895E-01  1.62897283E+00  3.53655010E+00  3.00000000E-01  1.43740000E-10  7.11660277E-01  1.49351798E+54  1.49351798E+54  1.46670280E+07  0.00000000E+00  4.34864685E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.23501710E+49  0.00000000E+00  0.00000000E+00  8.64993916E-01  7.11041620E+00  6.74488080E-13
   1       5      6.61616672E-04  3.33608238E-01  1.62638289E+00  3.53652178E+00  3.00000000E-01  1.43740000E-10  7.11660271E-01  1.48893177E+54  1.48893177E+54  1.46359728E+07  0.00000000E+00  4.35519204E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.22508320E+49  0.00000000E+00  0.00000000E+00  8.65326450E-01  7.11576517E+00  6.72169682E-13
   1       6      6.65692601E-04  3.32476655E-01  1.62383125E+00  3.53649383E+00  3.00000000E-01  1.43740000E-10  7.11660265E-01  1.48441982E+54  1.48441982E+54  1.46048009E+07  0.00000000E+00  4.36165228E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.21531014E+49  0.00000000E+00  0.00000000E+00  8.65654295E-01  7.12104077E+00  6.69889713E-13
   1       7      6.69750819E-04  3.31363151E-01  1.62131588E+00  3.53646622E+00  3.00000000E-01  1.43740000E-10  7.11660259E-01  1.47997823E+54  1.47997823E+54  1.45735225E+07  0.00000000E+00  4.36803229E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.20568949E+49  0.00000000E+00  0.00000000E+00  8.65977696E-01  7.12624702E+00  6.67646174E-13
   1       8      6.73793172E-04  3.30266916E-01  1.61883502E+00  3.53643896E+00  3.00000000E-01  1.43740000E-10  7.11660252E-01  1.47560365E+54  1.47560365E+54  1.45421078E+07  0.00000000E+00  4.37433621E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.19621398E+49  0.00000000E+00  0.00000000E+00  8.66296872E-01  7.13138745E+00  6.65437427E-13
   1       9      6.77821032E-04  3.29187241E-01  1.61638743E+00  3.53641200E+00  3.00000000E-01  1.43740000E-10  7.11660246E-01  1.47129366E+54  1.47129366E+54  1.45105893E+07  0.00000000E+00  4.38056662E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.18687838E+49  0.00000000E+00  0.00000000E+00  8.66611971E-01  7.13646429E+00  6.63262047E-13
   1      10      6.81836535E-04  3.28123291E-01  1.61397122E+00  3.53638536E+00  3.00000000E-01  1.43740000E-10  7.11660239E-01  1.46704471E+54  1.46704471E+54  1.44789477E+07  0.00000000E+00  4.38672824E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.17767499E+49  0.00000000E+00  0.00000000E+00  8.66923231E-01  7.14148153E+00  6.61118350E-13
   1      11      6.85840837E-04  3.27074663E-01  1.61158542E+00  3.53635904E+00  3.00000000E-01  1.43740000E-10  7.11660233E-01  1.46285482E+54  1.46285482E+54  1.44471808E+07  0.00000000E+00  4.39282316E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.16859953E+49  0.00000000E+00  0.00000000E+00  8.67230763E-01  7.14644099E+00  6.59005525E-13
   1      12      6.89835498E-04  3.26040511E-01  1.60922877E+00  3.53633298E+00  3.00000000E-01  1.43740000E-10  7.11660226E-01  1.45872163E+54  1.45872163E+54  1.44153068E+07  0.00000000E+00  4.39885412E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.15964688E+49  0.00000000E+00  0.00000000E+00  8.67534727E-01  7.15134504E+00  6.56921866E-13
   1      13      6.93822188E-04  3.25020284E-01  1.60689998E+00  3.53630718E+00  3.00000000E-01  1.43740000E-10  7.11660219E-01  1.45464265E+54  1.45464265E+54  1.43832993E+07  0.00000000E+00  4.40482400E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.15081165E+49  0.00000000E+00  0.00000000E+00  8.67835279E-01  7.15619609E+00  6.54866265E-13
   1      14      6.97802464E-04  3.24013524E-01  1.60459746E+00  3.53628172E+00  3.00000000E-01  1.43740000E-10  7.11660212E-01  1.45061496E+54  1.45061496E+54  1.43511857E+07  0.00000000E+00  4.41073738E+04  3.00000000E-01  3.35737614E+00  0.00000000E+00  0.00000000E+00  2.16603827E-05  3.14208752E+49  0.00000000E+00  0.00000000E+00  8.68132615E-01  7.16099800E+00  6.52837797E-13
