 NUMBER OF TRACKS   1 FOLLOWING LINES INCLUDE NUMBER OF MODELS PER TRACK, STARTING MASS, AND STARTING ROTATION PERIOD
    1  839  0.5500  8.0000
  J    K    Age(Gyr)         L/Lsun          R/Rsun        LogTeff(K)       Mcz(Msun)        Rcz(Rsun)          Xcen         Itot(cgs)       Icz(cgs)      Tau(cz)(sec)   HeCore(Msun)     Patm(cgs)       Mass(Msun)      Prot(days)      Icore(cgs)     Omega(core)     Omega(env)      Jtot(cgs)      Jcore(cgs)      Jenv(cgs)  CentrifugalCorr     CoronalB/Bsol       dM/dt(Msun/yr)
   1       1      3.22983110E-04  1.18670373E+00  2.35077709E+00  3.59430384E+00  5.50000000E-01  1.43740000E-10  7.11660273E-01  5.73181598E+54  5.73181598E+54  1.23253051E+07  0.00000000E+00  3.64012242E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.21036776E+49  0.00000000E+00  5.21036776E+49  9.37939258E-01  6.50542909E+00  2.39102690E-12
   1       2      3.26777040E-04  1.18318116E+00  2.34778755E+00  3.59425740E+00  5.50000000E-01  1.43740000E-10  7.11660226E-01  5.71759268E+54  5.71759268E+54  1.22132994E+07  0.00000000E+00  3.64586472E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.19743841E+49  0.00000000E+00  5.19743841E+49  9.38112974E-01  6.51055823E+00  2.38392944E-12
   1       3      3.29695448E-04  1.18052641E+00  2.34553539E+00  3.59422192E+00  5.50000000E-01  1.43740000E-10  7.11660189E-01  5.70690466E+54  5.70690466E+54  1.21836131E+07  0.00000000E+00  3.65020050E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.18772273E+49  0.00000000E+00  5.18772273E+49  9.38243765E-01  6.51442836E+00  2.37858054E-12
   1       4      3.33489379E-04  1.17715827E+00  2.34268021E+00  3.59417619E+00  5.50000000E-01  1.43740000E-10  7.11660141E-01  5.69337080E+54  5.69337080E+54  1.21461841E+07  0.00000000E+00  3.65570767E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.17542010E+49  0.00000000E+00  5.17542010E+49  9.38409479E-01  6.51934077E+00  2.37179424E-12
   1       5      3.37529696E-04  1.17366192E+00  2.33971112E+00  3.59412862E+00  5.50000000E-01  1.43740000E-10  7.11660088E-01  5.67931294E+54  5.67931294E+54  1.21074375E+07  0.00000000E+00  3.66146098E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.16264115E+49  0.00000000E+00  5.16264115E+49  9.38581688E-01  6.52446878E+00  2.36474963E-12
   1       6      3.41699817E-04  1.17014716E+00  2.33672085E+00  3.59408069E+00  5.50000000E-01  1.43740000E-10  7.11660034E-01  5.66517123E+54  5.66517123E+54  1.20686408E+07  0.00000000E+00  3.66728329E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.14978597E+49  0.00000000E+00  5.14978597E+49  9.38755007E-01  6.52965420E+00  2.35766793E-12
   1       7      3.46011045E-04  1.16661023E+00  2.33370639E+00  3.59403232E+00  5.50000000E-01  1.43740000E-10  7.11659976E-01  5.65093215E+54  5.65093215E+54  1.20297961E+07  0.00000000E+00  3.67318050E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.13684228E+49  0.00000000E+00  5.13684228E+49  9.38929605E-01  6.53490212E+00  2.35054155E-12
   1       8      3.50476203E-04  1.16304739E+00  2.33066439E+00  3.59398347E+00  5.50000000E-01  1.43740000E-10  7.11659916E-01  5.63658019E+54  5.63658019E+54  1.19909003E+07  0.00000000E+00  3.67916013E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.12379598E+49  0.00000000E+00  5.12379598E+49  9.39105674E-01  6.54021909E+00  2.34336298E-12
   1       9      3.55109603E-04  1.15953238E+00  2.32759044E+00  3.59394142E+00  5.50000000E-01  1.43740000E-10  7.11659853E-01  5.62209684E+54  5.62209684E+54  1.19518411E+07  0.00000000E+00  3.68534916E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.11063025E+49  0.00000000E+00  5.11063025E+49  9.39283462E-01  6.54571771E+00  2.33628077E-12
   1      10      3.59922728E-04  1.15600076E+00  2.32448380E+00  3.59390025E+00  5.50000000E-01  1.43740000E-10  7.11659786E-01  5.60747736E+54  5.60747736E+54  1.19127254E+07  0.00000000E+00  3.69165391E+04  5.50000000E-01  8.00000000E+00  0.00000000E+00  9.09025652E-06  9.09025652E-06  5.09734076E+49  0.00000000E+00  5.09734076E+49  9.39463010E-01  6.55131441E+00  2.32916510E-12
